cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,cus_Age,IndustryType,CustomerProfile,CustomerSegment,app_CustLoadTypeId,MarketNoofYearsinBusiness,app_CustAssetValue,app_CustProductCatTypeId,app_CustBrandTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustGrossLoan,app_CustViaIncomEstIncPm,app_CustViaExpTotExpense,app_CustViaGrossSurplus,app_CustUVAge,avg_clobal,Score,AnotherScore,Loan_to_Value,Collateral,Overdue,Banking,Earning Potential,Label
M,2750,3,2755,20,,605,2693,2695,566,,3097549,527,564,48,46,3097549,0,3097549,5.45,83002.88,3818133,786500,348125,438375,,83002.88,547,659,0,40,100,50,80,Pay
M,2750,4,2755,47,,605,2693,2695,568,,2533500,1672,564,24,23,2533500,254500,2279000,5.42,109857.86,2526731,375000,95750,279250,,109857.86,,,0,0,100,-50,80,Pay
M,2750,2,2755,6,38,1783,2693,2695,566,10,3070659,527,564,60,58,3070659,0,3070659,6.12,70295.47,4077137,650000,412500,237500,,70295.47,,,0,40,0,0,0,Pay
M,2750,4,2755,47,,605,2693,2695,568,,2827361,528,743,24,23,2827361,492361,2335000,5.42,112556.57,2588801,336000,40588,295412,,112556.57,,,0,0,100,50,80,Pay
M,2750,3,2755,20,,605,2693,2695,566,,3273628,527,564,48,46,3273628,173628,3100000,5.45,83169.3,3825788,155000,37000,118000,,83169.3,694,681,0,0,100,100,80,Pay
M,2750,3,2755,20,,605,2693,2695,566,,3227411,527,564,60,58,3227411,411,3227000,5.81,72660.82,4214328,375000,189200,185800,0,72660.82,702,693,0,0,100,0,80,Pay
M,2750,3,2755,18,31,876,2693,2695,566,10,3364075,527,564,60,58,3364075,75,3364000,6.12,76831.86,4456248,700000,264466,435534,0,76831.86,600,682,0,0,100,0,80,Pay
M,2750,2,2755,20,,605,2693,2695,568,,3395345,1672,564,48,46,3395345,679345,2716000,5.76,73484.89,3380305,756000,247150,508850,0,73484.89,1,653,75,0,0,50,80,Pay
M,2750,3,2755,18,31,876,2693,2695,566,10,3492986,527,564,60,58,3492986,986,3492000,5.81,78716.09,4565533,600000,295500,304500,,78716.09,600,682,0,0,100,100,80,Pay
M,2750,0,2755,18,,605,2693,2695,566,,1829153,634,564,48,46,1829153,0,1829153,6.33,50343.62,2315807,155000,49000,106000,,50343.62,734,664,0,40,0,-50,80,Pay
M,2750,0,2755,18,,605,2693,2695,566,,2170020,528,1816,48,47,2170020,170020,2000000,6.33,53344.19,2507177,150000,78000,72000,0,53344.19,734,664,0,0,100,50,80,Pay
M,2750,0,2755,6,,605,2693,2695,566,,3331416,527,564,47,45,3331416,0,3331416,5.74,98857.29,4448578,400000,208000,192000,,98857.29,655,694,0,40,0,100,80,Pay
M,2750,2,2755,6,47,605,2693,2697,566,,4212040,527,564,48,46,4212040,631806,3580234,6.33,197345.01,9077871,504000,155850,348150,,197345.01,,,0,0,0,50,80,Pay
M,2750,0,2755,18,,605,2693,2695,566,,2204240,528,1816,48,47,2204240,304240,1900000,6.04,50208.71,2359810,225000,27350,197650,,50208.71,734,664,0,0,0,100,80,Pay
M,2750,2,2755,6,47,605,2693,2697,566,,4212040,527,564,48,46,4212040,631806,3580234,6.33,197345.01,9077871,504000,155850,348150,,197345.01,,,0,0,100,100,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,27127,3200000,6.12,72602.58,4210950,5100000,1331700,3768300,0,72602.58,655,642,0,0,100,0,80,Pay
M,2750,0,2755,10,27,605,2693,2695,569,,1500000,528,1380,24,23,1500000,360000,1140000,5.69,55235.76,1270423,300000000,60114500,239885500,0,55235.76,,,75,0,0,0,80,Pay
M,2750,3,2755,20,39,1783,2693,2695,566,10,3476404,1672,564,48,46,3476404,777404,2699000,5.45,72824.59,3349931,520000,272000,248000,,72824.59,619,810,75,0,0,-50,0,Pay
M,2750,4,2755,20,35,658,2692,2701,566,,2168155,527,564,48,47,2168155,68156,2099999,6.04,112273.94,5276875,100000,21050,78950,,112273.94,,,0,0,100,50,80,Pay
M,2750,4,2755,10,35,1783,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.85,72454.9,4202385,576000,320000,256000,,72454.9,,,0,0,100,-50,80,Pay
M,2750,0,2755,10,27,605,2693,2695,568,,11000000,528,1848,48,46,11000000,1100000,9900000,6.04,270016.79,12420773,3000000,482000,2518000,0,270016.79,,,0,0,100,100,80,Pay
M,2750,1,2755,25,,605,2693,2695,569,,2814391,528,743,48,46,2814391,364391,2450000,5.76,66075.9,3039492,300000,23587,276413,,66075.9,533,674,0,0,0,0,80,Pay
M,2750,4,2755,20,35,658,2692,2701,568,,4350000,528,743,36,34,4350000,1500000,2850000,5.89,99686.59,3389344,224000,31366,192634,,99686.59,,,100,0,100,50,80,Pay
M,2750,0,2755,10,27,605,2693,2695,568,,5225000,528,1623,48,46,5225000,522500,4702500,6.04,128676.66,5919127,3000000,469000,2531000,,128676.66,,,0,0,0,50,80,Pay
M,2750,2,2755,15,,605,2693,2695,566,,3139750,527,564,60,58,3139750,750,3139000,5.73,70559.95,4092477,273000,125500,147500,,70559.95,734,717,0,0,0,-50,80,Pay
M,2750,2,2755,10,39,1783,2693,2695,566,10,3227127,527,564,60,58,3227127,127,3227000,6,72875.34,4226770,576000,245000,331000,,72875.34,665,722,0,0,100,50,80,Pay
M,2750,0,2755,6,,605,2693,2695,566,,3097549,527,564,48,46,3097549,0,3097549,5.45,82961.26,3816218,786500,348125,438375,,82961.26,628,783,0,40,0,-50,80,Pay
M,2750,0,2755,10,27,605,2693,2695,568,,3400000,528,1623,48,46,3400000,340000,3060000,6.04,84010.73,3864494,495000,249000,246000,0,84010.73,,,0,0,0,50,80,Pay
M,2750,0,2756,10,41,605,2693,2695,568,,3679040,1672,564,48,46,3679040,457904,3221136,6.63,179009.18,8234423,433440,141800,291640,0,179009.18,664,670,0,0,0,100,80,Pay
M,2750,3,2755,25,35,1783,2693,2695,566,25,3026711,527,564,60,58,3026711,151711,2875000,5.82,64521.08,3742223,238000,52000,186000,,64521.08,570,682,0,0,0,0,0,Pay
M,2750,2,2755,10,31,1783,2693,2695,566,10,3715528,1672,564,48,47,3715528,515528,3200000,5.9,85120.79,4000677,780000,278000,502000,,85120.79,,,0,0,0,0,80,Pay
F,2750,0,2755,10,,605,2693,2695,566,,1897903,634,564,48,46,1897903,189790,1708113,6.63,94655.8,4354167,280000,103000,177000,,94655.8,758,630,0,0,0,100,80,Pay
M,2750,,2755,,,1783,2693,2695,566,,2043529,527,564,60,58,2043529,29,2043500,5.23,89457.2,5188518,540000,229500,310500,,89457.2,,,0,0,100,100,80,Pay
M,2750,0,2756,10,41,605,2693,2695,568,,3679040,1672,564,48,46,3679040,457904,3221136,6.63,179009.18,8234423,433440,141800,291640,0,179009.18,664,670,0,0,100,-50,80,Pay
F,2750,0,2755,10,,605,2693,2695,566,,1897903,634,564,48,46,1897903,189790,1708113,6.63,94655.8,4354167,280000,103000,177000,,94655.8,758,630,0,0,0,50,80,Pay
F,2750,0,2755,25,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.82,72370.82,4197508,630000,358900,271100,0,72370.82,665,713,0,0,100,-50,80,Pay
M,2750,,2755,,,1783,2693,2695,566,,2043529,527,564,60,58,2043529,29,2043500,5.23,89457.2,5188518,540000,229500,310500,,89457.2,,,0,0,100,50,80,Pay
M,2750,2,2755,45,45,1783,2693,2695,566,,3587843,1672,564,36,35,3587843,387843,3200000,5.79,108375.99,3793160,665000,296333,368667,,108375.99,677,721,0,0,100,50,80,Pay
F,2750,3,2756,5,,605,2693,2695,566,,58000,527,564,12,11,58000,0,58000,8.18,5765.01,63415,786500,353125,433375,,5765.01,528,736,0,40,100,0,80,Pay
F,2750,0,2755,10,,605,2693,2695,566,,2203837,634,564,60,58,2203837,330837,1873000,6.12,42604.15,2471041,312500,93416,219084,0,42604.15,758,630,0,0,0,100,80,Pay
M,2750,3,2755,29,36,876,2692,2701,566,10,3450000,1672,564,48,47,3450000,850000,2600000,6.53,70769.11,3326148,273000,88833,184167,0,70769.11,769,622,75,0,100,-50,80,Pay
M,2750,3,2755,12,36,876,2693,2696,566,15,3364075,527,564,60,58,3364075,75,3364000,5.74,76068.17,4411954,520000,202266,317734,,76068.17,,,0,0,100,-50,0,Pay
M,2750,2,2755,20,35,605,2692,2701,566,,3273628,527,564,60,58,3273628,0,3273628,5.82,73410.64,4257817,786500,348125,438375,,73410.64,683,663,0,40,0,100,80,Pay
M,2750,0,2755,25,,605,2693,2695,566,,3357999,527,564,60,58,3357999,999,3357000,6.04,76139.05,4416065,500000,199757,300243,,76139.05,,,0,0,100,-50,80,Pay
M,2750,0,2755,1,31,1783,2693,2695,568,,2693161,783,564,48,46,2693161,52161,2641000,6.04,522676.35,24043112,877500,434500,443000,0,522676.35,,,0,0,0,-50,80,Pay
M,2750,3,2755,15,27,1783,2693,2695,566,25,5200000,528,1639,48,46,5200000,780000,4420000,5.5,117852.6,5421220,450000,190000,260000,0,117852.6,672,690,0,0,100,50,0,Pay
F,2750,3,2755,20,,605,2693,2695,566,,3652483,1672,564,36,35,3652483,552483,3100000,5.79,104705.84,3664705,462000,150000,312000,,104705.84,652,658,0,0,0,50,80,Pay
M,2750,2,2755,23,39,605,2693,2695,566,23,3790425,1672,564,48,47,3790425,790425,3000000,5.89,79927.29,3756583,294000,125500,168500,,79927.29,686,717,75,0,100,100,0,Pay
M,2750,0,2755,10,,605,2693,2695,566,,3364075,527,564,60,58,3364075,0,3364075,5.52,148046.58,8586702,786500,353125,433375,,148046.58,572,914,0,40,100,50,80,Pay
M,2750,4,2755,25,57,876,2693,2695,566,,3715830,1672,564,52,50,3715830,565830,3150000,5.48,157471.49,7873575,500000,180357,319643,0,157471.49,,,0,0,100,0,80,Pay
